WINTER,CLOSED,OPENED,YEAR1,CLOSEDDATE,OPENEDDATE,DURATION
1962-63,12-Dec,3-Apr,1962,1962-12-12,1963-04-03,112 days 00:00:00.000000000
1963-64,20-Dec,11-Apr,1963,1963-12-20,1964-04-11,113 days 00:00:00.000000000
1964-65,15-Dec,14-Apr,1964,1964-12-15,1965-04-14,120 days 00:00:00.000000000
1965-66,11-Jan,17-Mar,1965,1966-01-11,1966-03-17,65 days 00:00:00.000000000
1966-67,26-Dec,3-Apr,1966,1966-12-26,1967-04-03,98 days 00:00:00.000000000
1967-68,27-Dec,27-Mar,1967,1967-12-27,1968-03-27,91 days 00:00:00.000000000
1968-69,17-Dec,19-Dec,1968,1968-12-17,1968-12-19,2 days 00:00:00.000000000
1968-69,25-Dec,10-Apr,1968,1968-12-25,1969-04-10,106 days 00:00:00.000000000
1969-70,16-Dec,8-Apr,1969,1969-12-16,1970-04-08,113 days 00:00:00.000000000
1970-71,24-Dec,13-Apr,1970,1970-12-24,1971-04-13,110 days 00:00:00.000000000
1971-72,5-Jan,19-Apr,1971,1972-01-05,1972-04-19,105 days 00:00:00.000000000
1972-73,7-Dec,14-Mar,1972,1972-12-07,1973-03-14,97 days 00:00:00.000000000
1973-74,21-Dec,5-Apr,1973,1973-12-21,1974-04-05,105 days 00:00:00.000000000
1974-75,2-Jan,19-Apr,1974,1975-01-02,1975-04-19,107 days 00:00:00.000000000
1975-76,27-Dec,24-Mar,1975,1975-12-27,1976-03-24,88 days 00:00:00.000000000
1976-77,3-Dec,28-Mar,1976,1976-12-03,1977-03-28,115 days 00:00:00.000000000
1977-78,7-Dec,8-Dec,1977,1977-12-07,1977-12-08,1 days 00:00:00.000000000
1977-78,10-Dec,11-Apr,1977,1977-12-10,1978-04-11,122 days 00:00:00.000000000
1978-79,10-Dec,13-Dec,1978,1978-12-10,1978-12-13,3 days 00:00:00.000000000
1978-79,25-Dec,19-Apr,1978,1978-12-25,1979-04-19,115 days 00:00:00.000000000
1979-80,29-Dec,6-Apr,1979,1979-12-29,1980-04-06,99 days 00:00:00.000000000
1980-81,20-Dec,23-Mar,1980,1980-12-20,1981-03-23,93 days 00:00:00.000000000
1981-82,28-Dec,3-Apr,1981,1981-12-28,1982-04-03,96 days 00:00:00.000000000
1982-83,13-Jan,8-Mar,1982,1983-01-13,1983-03-08,54 days 00:00:00.000000000
1983-84,19-Dec,8-Apr,1983,1983-12-19,1984-04-08,111 days 00:00:00.000000000
1984-85,25-Dec,26-Dec,1984,1984-12-25,1984-12-26,1 days 00:00:00.000000000
1984-85,2-Jan,27-Mar,1984,1985-01-02,1985-03-27,84 days 00:00:00.000000000
1985-86,14-Dec,31-Mar,1985,1985-12-14,1986-03-31,107 days 00:00:00.000000000
1986-87,13-Dec,12-Mar,1986,1986-12-13,1987-03-12,89 days 00:00:00.000000000
1987-88,2-Jan,29-Mar,1987,1988-01-02,1988-03-29,87 days 00:00:00.000000000
1988-89,29-Dec,5-Apr,1988,1988-12-29,1989-04-05,97 days 00:00:00.000000000
1989-90,12-Dec,15-Mar,1989,1989-12-12,1990-03-15,93 days 00:00:00.000000000
1990-91,26-Dec,24-Mar,1990,1990-12-26,1991-03-24,88 days 00:00:00.000000000
1991-92,18-Dec,26-Mar,1991,1991-12-18,1992-03-26,99 days 00:00:00.000000000
1992-93,24-Dec,11-Apr,1992,1992-12-24,1993-04-11,108 days 00:00:00.000000000
1993-94,27-Dec,31-Mar,1993,1993-12-27,1994-03-31,94 days 00:00:00.000000000
1994-95,6-Jan,21-Mar,1994,1995-01-06,1995-03-21,74 days 00:00:00.000000000
1995-96,10-Dec,7-Apr,1995,1995-12-10,1996-04-07,119 days 00:00:00.000000000
1996-97,20-Dec,1-Apr,1996,1996-12-20,1997-04-01,102 days 00:00:00.000000000
1997-98,11-Jan,27-Feb,1997,1998-01-11,1998-02-27,47 days 00:00:00.000000000
1998-99,30-Dec,21-Mar,1998,1998-12-30,1999-03-21,81 days 00:00:00.000000000
1999-00,14-Jan,7-Mar,1999,2000-01-14,2000-03-07,53 days 00:00:00.000000000
2000-01,13-Dec,7-Apr,2000,2000-12-13,2001-04-07,115 days 00:00:00.000000000
2001-02,2-Jan,12-Jan,2001,2002-01-02,2002-01-12,10 days 00:00:00.000000000
2001-02,4-Mar,15-Mar,2001,2002-03-04,2002-03-15,11 days 00:00:00.000000000
2002-03,4-Jan,3-Apr,2002,2003-01-04,2003-04-03,89 days 00:00:00.000000000
2003-04,7-Jan,27-Mar,2003,2004-01-07,2004-03-27,80 days 00:00:00.000000000
2004-05,25-Dec,5-Apr,2004,2004-12-25,2005-04-05,101 days 00:00:00.000000000
2005-06,19-Dec,24-Mar,2005,2005-12-19,2006-03-24,95 days 00:00:00.000000000
2006-07,20-Jan,27-Mar,2006,2007-01-20,2007-03-27,66 days 00:00:00.000000000
2007-08,26-Dec,10-Apr,2007,2007-12-26,2008-04-10,106 days 00:00:00.000000000
2008-09,16-Dec,23-Mar,2008,2008-12-16,2009-03-23,97 days 00:00:00.000000000
2009-10,29-Dec,26-Mar,2009,2009-12-29,2010-03-26,87 days 00:00:00.000000000
2010-11,15-Dec,3-Apr,2010,2010-12-15,2011-04-03,109 days 00:00:00.000000000
2011-12,14-Jan,11-Mar,2011,2012-01-14,2012-03-11,57 days 00:00:00.000000000
2012-13,14-Jan,11-Apr,2012,2013-01-14,2013-04-11,87 days 00:00:00.000000000
2013-14,16-Dec,12-Apr,2013,2013-12-16,2014-04-12,117 days 00:00:00.000000000
2014-15,2-Jan,3-Apr,2014,2015-01-02,2015-04-03,91 days 00:00:00.000000000
2015-16,11-Jan,13-Mar,2015,2016-01-11,2016-03-13,62 days 00:00:00.000000000
2016-17,1-Jan,7-Mar,2016,2017-01-01,2017-03-07,65 days 00:00:00.000000000
2017-18,27-Dec,31-Mar,2017,2017-12-27,2018-03-31,94 days 00:00:00.000000000
2018-19,15-Dec,21-Dec,2018,2018-12-15,2018-12-21,6 days 00:00:00.000000000
2018-19,10-Jan,31-Mar,2018,2019-01-10,2019-03-31,80 days 00:00:00.000000000
2019-20,12-Jan,22-Mar,2019,2020-01-12,2020-03-22,70 days 00:00:00.000000000
